FID;Name;F2010_11;F2011_12;F2012_13;F2013_14;F2014_15;F2015_16;F2016_17;F2017_18;F2018_19;F2019_20;F2020_21;F2021_22;F2022_23;Shape__Area;Shape__Length
1;Alexandria;178151678.2;179751048;180395075.3;164415383.4;154256994.2;162372217.4;163168963.1;155096161;145509577.3;147534614;147147512.1;147481388.6;147429905;51.297.118.984.375;122.679.608.631.685
2;Forest Lodge + Annandale;16553662.17;16720192.71;16336297.56;15537923.68;15603170.09;15768906.67;15785636.95;18743393.09;20187367.67;20761283.57;21443290.39;27191656.65;28729580.4;79.394.777.734.375;68.174.167.335.938
3;Millers Point + Barangaroo;39222828.91;39666586.35;41351600.56;41601435.85;41843321.85;40595735.76;37915613.28;34786135.71;30142876.58;37728668.48;30979957.36;30904975.31;33463535.39;6.739.311.328.125;476.014.774.077.824
4;Beaconsfield;8.379.343.471;8.454.491.598;10127941.88;11923962.29;12339118.28;12848150.89;12517850.56;9.622.119.766;5212607.42;5090893.65;4878603.16;4691354.69;4424506.62;24.380.676.171.875;231.391.940.788.534
5;Camperdown;115344383;116493273.4;119503345.7;122507837.4;126025795.2;126707080.8;124501353.7;129747022.5;133478909.7;139736391.5;144272836;144492433.1;145684943.7;15.610.431.875;603.669.973.179.054
6;Centennial Park;9.321.483.056;9.475.928.972;10191512.67;9.662.515.281;8.797.194.646;8.906.843.884;8.677.706.898;8.644.827.055;7098165.66;7169434.81;7171983.71;7038429.83;6843761.45;37.770.731.640.625;47.449.150.937.824
7;Chippendale;39191426.25;39637921.47;40163770.87;40684006.51;41158403.74;41660732.26;41256185.52;45640269.05;48510571.04;51698462.35;53584009.1;53941747.27;54515602.58;6.694.250.234.375;381.485.906.696.062
8;Darlinghurst;143391781.3;144874593.8;146082457.8;148051089.2;149744996.5;148218982.4;145844123.5;142028552.4;136699199.8;136318162.1;135853440.6;132481904.9;130108672.7;12.581.536.484.375;587.526.436.053.043
9;Darlington;12885371.18;13006032.81;33806992.43;35876732.89;35463643.9;35377051.23;35001024.41;35285310.21;34055814.44;34109959.69;36574722.82;36627731.35;36576903.96;5.571.136.484.375;346.222.474.890.667
10;Dawes Point;10370206.87;10478983.95;13577378.33;10049194.95;9.340.095.611;10401225.26;10423655.86;8.658.304.576;5379171.74;11134527.41;4880727.48;10783298.7;10173348.81;20.139.283.203.125;369.051.105.603.505
11;Elizabeth Bay;32846214.56;33356364.21;31043976.21;31538685.42;31268104.07;30764689.78;29997991.74;29109125.69;26706478.08;26632695.48;27018910.8;26548033.3;25866663.74;36.113.563.671.875;333.045.083.412.956
12;Erskineville;32484168.12;32820676.74;27178190.34;27932948.6;27515817.61;26912567.95;26499324.28;26268550.32;24523994.8;25452544.09;25131972.3;24506340.06;23872883.26;118.177.084.765.625;527.648.774.718.741
13;Eveleigh;17767847.53;17928776.14;29138220.55;32260551.81;36658576.57;33190505.66;30761757.75;30166206.68;28056874.04;27386283.76;24243218.91;22828573.21;22093801.64;80.097.033.203.125;505.149.601.755.624
14;Glebe;70946957.61;71682874.86;56451579.51;57540610.66;57708787.49;57349312.38;54822356.08;53430517.36;50524897.08;50869027.37;50909619.05;49528867.01;46843228.28;244.326.488.671.875;877.702.829.002.578
15;Haymarket;218643832;220709872.2;221475305.4;219151172.1;219941590.2;216467024.7;212838226.1;208905700.1;203459392.4;200733975.3;199730678.9;191839566.6;188707845.3;7.599.827.421.875;381.757.030.603.491
16;Waterloo + Moore Park;106758969.1;107899149.6;110360803.8;111431010.2;117775364.9;119050457.9;115425988.2;113082661.1;109225552.4;106353456.8;109390090;109553163.4;108183740.5;43.450.764.296.875;116.507.273.851.181
17;Newtown + St Peters;64381809.93;65007917.43;51822196.52;51008062.97;51117815.29;51716815.32;50545784.99;50170525.06;48281483.59;47472662.87;47460792.81;41922116.7;41519448.47;142.727.103.515.625;881.539.463.343.043
18;Paddington;18585428.01;18759162.44;20367450.6;21675883.92;21328075.81;21785510.08;20338505.57;23290430.07;24728573;25370472.46;25051707.68;24982160.73;24990151.46;6.705.645.390.625;43.417.806.107.639
19;Potts Point;62874242.48;63644573.72;64494979.85;67239805.54;66026099.49;63766182.3;63780891.38;62427078.27;59559483.62;58726597.12;57208164.47;55434737.49;54345916.34;870.985.546.875;689.816.834.525.688
20;Pyrmont;224014527.4;226542888.5;240947620;246274533.6;249636036.9;248003464.6;246140030.7;239478879.6;231303947.1;225617448.2;225789672.4;218629161.9;213065611.9;139.458.193.359.375;862.307.048.838.343
21;Redfern;82085004.17;83012942.26;77086126.27;77549653.19;76423721.3;74899801.61;72022615.17;69207753.55;64879110.38;64109168.82;64907631.27;65221852.83;65265750.38;16.830.073.828.125;656.980.632.068.742
22;Rosebery;70369708.25;71014617.48;71687459.71;67073163.57;64655495.01;64231520.96;62495021.47;61417070.3;58825337.58;59390460.46;60535316.06;60245286.51;60050317.32;2.114.294.125;666.237.417.785.839
23;Rushcutters Bay;10338378.42;10505541.76;12460084.3;13290923.42;12593443.73;12818611.14;12997250.84;12807140.81;11103249.24;10895171.11;10664435.71;10479413.03;10405074.93;22.061.905.859.375;245.316.968.134.343
24;Surry Hills;200956652.4;203054375.3;204464281.8;204280767.8;200676661;197936115.1;193640659.1;188833569.1;182512697.7;179827751.1;180318638.6;174349887.8;170669829.4;192.965.454.296.875;642.158.804.742.048
25;Sydney;2032961363;2051413318;2054780481;1970682425;1908717515;1858978664;1778849764;1699557444;1618751341;1578412224;1557098852;1507126678;1437269088;425.163.976.171.875;150.139.248.739.887
26;The Rocks;114568547.4;115638926.5;113890325.2;109718152.6;111868511.8;107862604.8;101782024.8;100134735.3;96973664.19;91994083.12;90391437.24;87022963.54;85381254.16;309.162.609.375;354.952.803.168.675
27;Ultimo;151656600.6;153069440.6;157670727.9;158244942.9;161942626.1;159945027.4;156578337.2;155922429.4;153752739.9;156803138.1;153445119.4;146254104.8;142815523.8;81.407.905.078.125;400.605.523.855.258
28;Woolloomooloo;51630918.94;52195471.57;54214019.37;54058368.31;54838147.02;53366745.22;48029075.5;44851695.82;40160534.6;48056578.13;41746824.09;48091161.56;47430915.85;5.987.029.453.125;514.899.952.331.095
29;Zetland;22753499.56;22999959.72;25986058.79;26643943.14;28316936.67;28352912.74;26651081.55;29764393.09;31363923.07;43152564.91;48203499.02;48537962.59;51244696.79;116.567.662.109.375;438.632.917.337.248
