VEHICLE TYPE;FUEL TYPE;MODEL;VARIANT DETAILS;LISTED PRICE ($AUD);FAST CHARGE TIME (minutes);ANCAP RATING;RANGE (km);ENERGY CONSUMPTION;;SUBURB
Large SUV;BEV;Audi e-tron;2022 Audi e-tron 55 Auto quattro MY23;;85 mins (5%-80% charge, 50kW charger);5 star, 2019;459;23.2;;Alexandria
Large Car;BEV;Audi e-tron GT;2024 Audi e-tron GT Auto e-quattro MY24;181784;23 mins (5%-80% charge, 270kW charger);Unrated;540;19.2;;Camperdown
Medium SUV;BEV;Audi Q4;2024 Audi Q4 e-tron 45 Auto MY25;84900;28 mins (10-80% charge, 175kW charger);Unrated;524;17.4;;Millers Point
Large Car;BEV;BMW 5 Series BEV;2024 BMW i5 eDrive40 M Sport G60 Auto;155900;30 mins (10%-80% charge, 205kW charger);5 star, 2023;550;16.5;;Chippendale
Medium Car;BEV;BMW i4;2024 BMW i4 eDrive35 M Sport G26 Auto;85900;31 mins (10%-80% charge, 205kW charger);4 star, 2022;520;22.2;;Chippendale
Large Car;BEV;BMW i7;2024 BMW i7 xDrive60 M Sport G70 Auto AWD;306900;34 mins (10%-80% charge, 195kW charger);Unrated;625;22.2;;Chippendale
Large SUV;BEV;BMW iX;2024 BMW iX xDrive40 Sport I20 Auto AWD;136900;31 mins (10%-80% charge, 150kW charger);5 star, 2021;420;22.5;;DarlingHurst
Small SUV;BEV;BMW iX1;2024 BMW iX1 eDrive20 xLine U11 Auto;78900;29 mins (10%-80% charge, 130kW charger);5 star, 2022;464;15.7;;DarlingHurst
Small SUV;BEV;BMW iX2;2024 BMW iX2 eDrive20 M Sport U10 Auto;82900;29 mins (10%-80% charge, 130kW charger);Unrated;427;17.1;;DarlingHurst
Medium SUV;BEV;BMW iX3;2024 BMW iX3 M Sport G08 Auto;89100;450 mins (0%-100% charge, 11kW charger);Unrated;440;21.6;;Glebe
Medium SUV;BEV;BYD Atto 3;2024 BYD ATTO 3 Standard Auto;44499;29 mins (30%-80% charge, 150kW charger);5 star, 2022;345;16;;Glebe
Small Car;BEV;BYD Dolphin;2024 BYD Dolphin Dynamic Auto;36890;29 mins (30%-80% charge, 150kW charger);5 star, 2023;410;21.6;;Glebe
Medium Car;BEV;BYD Seal;2024 BYD Seal Dynamic Auto;49888;26 mins (30%-80% charge, 150kW charger);5 star, 2023;510;13.8;;Glebe
Small SUV;BEV;Chery Omoda 5 BEV;2024 Chery OMODA E5 BX Auto MY24;42990;28 mins (30%-80% charge, 80kW charger);5 star, 2022;460;13;;Glebe
Small Car;BEV;CUPRA Born;2024 CUPRA Born Auto MY24;59990;;5 star, 2022;511;17;;Eveleigh
Small Car;BEV;Fiat 500e;2023 Fiat 500e La Prima Auto MY23;52500;35 mins (0%-80% charge, 85kW charger);4 star, 2021;311;14.4;;Eveleigh
Large SUV;BEV;Ford Mustang Mach-E;2023 Ford Mustang Mach-E Select Auto MY23.75;64990;32 mins (10%-80% charge, 150kW charger);5 star, 2021;470;17.8;;Newtown
Small SUV;BEV;Genesis GV60;2024 Genesis GV60 AWD Auto AWD MY24;103384;18 mins (10%-80% charge, 350kW charger);5 star, 2022;470;18.8;;Newtown
Medium SUV;BEV;Genesis GV70 BEV;2023 Genesis GV70 Perfomance Auto AWD MY23;125858;18 mins (10%-80% charge, 350kW charger);5 star, 2021;445;19.9;;Newtown
Small Car;BEV;GWM Ora;2024 GWM Ora Standard Range Auto;35990*;41 mins (10%-80% charge, 80kW charger);5 star, 2022;310;16.7;;Newtown
Medium SUV;BEV;Hyundai Ioniq 5;2024 Hyundai IONIQ 5 Auto 2WD MY25;69800;18 mins (10%-80% charge, 800V charger);5 star, 2021;451;17.9;;Newtown
