,SUBURB_KEY,YEAR,TOTAL_EVS,BEV_COUNT,PHEV_COUNT,AVG_RANGE_KM,AVG_PRICE,EV_ADOPTION_SCORE
0,1,2023,1.0,1.0,0.0,459.0,0.0,0.7777777777777777
1,2,2023,0.0,0.0,0.0,0.0,0.0,0.0
2,3,2023,1.0,1.0,0.0,540.0,181784.0,1.0
3,4,2023,0.0,0.0,0.0,0.0,0.0,0.0
4,5,2023,3.0,3.0,0.0,565.0,182900.0,3.0
5,6,2023,3.0,3.0,0.0,437.0,99566.66666666667,3.0
6,7,2023,0.0,0.0,0.0,0.0,0.0,0.0
7,8,2023,0.0,0.0,0.0,0.0,0.0,0.0
8,9,2023,0.0,0.0,0.0,0.0,0.0,0.0
9,10,2023,0.0,0.0,0.0,0.0,0.0,0.0
10,11,2023,0.0,0.0,0.0,0.0,0.0,0.0
11,12,2023,3.0,0.0,3.0,82.66666666666667,110390.0,3.0
12,13,2023,2.0,2.0,0.0,411.0,56245.0,2.0
13,14,2023,0.0,0.0,0.0,0.0,0.0,0.0
14,15,2023,5.0,5.0,0.0,433.0,52673.4,5.0
15,16,2023,2.0,2.0,0.0,616.0,134250.0,2.0
16,17,2023,0.0,0.0,0.0,0.0,0.0,0.0
17,18,2023,1.0,1.0,0.0,524.0,84900.0,1.0
18,19,2023,9.0,9.0,0.0,443.75,72689.0,9.0
19,20,2023,10.0,10.0,0.0,466.3333333333333,100711.6,10.0
20,21,2023,0.0,0.0,0.0,0.0,0.0,0.0
21,22,2023,2.0,2.0,0.0,571.0,87000.0,2.0
22,23,2023,11.0,0.0,11.0,46.77777777777778,184680.72727272726,11.0
23,24,2023,0.0,0.0,0.0,0.0,0.0,0.0
24,25,2023,2.0,2.0,0.0,453.5,69490.0,2.0
25,26,2023,1.0,0.0,1.0,51.0,129990.0,1.0
26,27,2023,0.0,0.0,0.0,0.0,0.0,0.0
27,28,2023,0.0,0.0,0.0,0.0,0.0,0.0
28,29,2023,0.0,0.0,0.0,0.0,0.0,0.0
29,30,2023,9.0,9.0,0.0,481.22222222222223,159630.0,9.0
30,31,2023,7.0,0.0,7.0,85.66666666666667,144357.42857142858,6.363636363636364
31,32,2023,0.0,0.0,0.0,0.0,0.0,0.0
32,33,2023,8.0,8.0,0.0,435.0,114812.14285714286,8.0
33,34,2023,9.0,1.0,8.0,126.16666666666667,200328.66666666666,9.0
34,35,2023,8.0,8.0,0.0,377.4,71950.5,8.0
35,36,2023,9.0,0.0,9.0,68.85714285714286,167421.25,9.0
