,id_suburb,SUBURB_NAME
0,1,Alexandria
1,2,Beaconsfield
2,3,Camperdown
3,4,Centennial Park
4,5,Chippendale
5,6,DarlingHurst
6,7,Darlinghurst
7,8,Darlington
8,9,Dawes Point
9,10,Earlwood
10,11,Elizabeth Bay
11,12,Erskineville
12,13,Eveleigh
13,14,Forest Lodge
14,15,Glebe
15,16,Haymarket
16,17,Macquarie Park
17,18,Millers Point
18,19,Newtown
19,20,Paddington
20,21,Parramatta
21,22,Potts Point
22,23,Pyrmont
23,24,Randwick
24,25,Redfern
25,26,Rosebery
26,27,Rozelle
27,28,Rushcutters Bay
28,29,Surry Hills
29,30,SurryHills
30,31,Sydney
31,32,The Rocks
32,33,Ultimo
33,34,Waterloo
34,35,Woolloomooloo
35,36,Zetland
